Membership: Membership Type,Industry,Position,Job Function,Person Account: Mailing Country,Age
Established,Government Agency,Analyst,Other Engineer,United States,51
Established,Government Agency,Research Assistant,Student,United States,51
Established,National Laboratory,Engineer,Mechanical Engineer,United States,52
Established,Engineering Firm,Chief/Senior Engineer,Nuclear Engineer,United States,52
Established,Educational Institution,Instructor,Nuclear Engineer,United States,52
Established,Engineering Firm,Manager,Nuclear Engineer,United States,52
Established,Educational Institution,Professor,Nuclear Engineer,United States,52
Established,Other,Project Manager,Other Engineer,United States,52
Established,National Laboratory,Manager,Scientist,United States,52
Established,National Laboratory,Manager,Scientist,United States,52
Lifetime,,,,United States,52
Established,Educational Institution,Professor,Educator,South Korea,53
Established,Utility,Director/Department Head,General/Corporate Management,United States,53
Lifetime,Manufacturer,Engineer,Nuclear Engineer,United States,53
Established,National Laboratory,Engineer,Nuclear Engineer,United States,53
Established,National Laboratory,Other,Nuclear Engineer,United States,53
Established,Educational Institution,Professor,Nuclear Engineer,United States,53
Established,National Laboratory,Engineer,Scientist,United States,53
Established,Consulting Firm,Owner,Scientist,United States,53
Established,Educational Institution,Professor,Nuclear Engineer,South Korea,54
Established,Engineering Firm,Engineer,Nuclear Engineer,Sweden,54
Established,Educational Institution,Professor,Educator,Taiwan,54
Lifetime,Consulting Firm,President/CEO,General/Corporate Management,United States,54
Established,Manufacturer,Director/Department Head,Nuclear Engineer,United States,54
Established,National Laboratory,Director/Department Head,Nuclear Engineer,United States,54
Established,National Laboratory,Engineer,Nuclear Engineer,United States,54
Established,National Laboratory,Engineer,Nuclear Engineer,United States,54
Established,National Laboratory,Engineer,Nuclear Engineer,United States,54
Established,Engineering Firm,Manager,Nuclear Engineer,United States,54
Established,National Laboratory,Manager,Nuclear Engineer,United States,54
Established,Private Research/Test Lab,Project Manager,Nuclear Engineer,United States,54
Established,Engineering Firm,Chief/Senior Engineer,Scientist,United States,54
Established,National Laboratory,Manager,Scientist,United States,54
Established,National Laboratory,Manager,Nuclear Engineer,France,55
Established,Educational Institution,Professor,Educator,Japan,55
Established,National Laboratory,Professor,Scientist,United Kingdom,55
Established,Educational Institution,Professor,Educator,United States,55
Established,Educational Institution,Professor,Educator,United States,55
Established,Engineering Firm,Engineer,Mechanical Engineer,United States,55
Established,National Laboratory,Analyst,Nuclear Engineer,United States,55
Established,Engineering Firm,Engineer,Nuclear Engineer,United States,55
Established,Utility,Owner,Nuclear Engineer,United States,55
Trial,Government Agency,Supervisor,Scientist,United States,55
Graduate Student,Student,Student,Student,United States,55
Established,Engineering Firm,Director/Department Head,Nuclear Engineer,France,56
Established,Manufacturer,Engineer,Other Engineer,United Kingdom,56
Established,Consulting Firm,Owner,Chemical Engineer,United States,56
Established,Educational Institution,Adjunct/Assistant Professor,Educator,United States,56
Established,National Laboratory,Director/Department Head,Nuclear Engineer,United States,56
Lifetime,National Laboratory,Director/Department Head,Nuclear Engineer,United States,56
Established,Supplier,Engineer,Nuclear Engineer,United States,56
Established,Engineering Firm,Supervisor,Nuclear Engineer,United States,56
Established,National Laboratory,Engineer,Scientist,United States,56
Established,Consulting Firm,President/CEO,Sales/Marketing/PR,Canada,57
Established,National Laboratory,Manager,,Canada,57
Established,Engineering Firm,Chief/Senior Engineer,Nuclear Engineer,Czech Republic,57
Established,National Laboratory,Engineer,Nuclear Engineer,United States,57
Established,Other,Director/Department Head,Other,United States,57
Lifetime,Educational Institution,Professor,Nuclear Engineer,Japan,58
Established,Educational Institution,Professor,Educator,United States,58
Established,Government Agency,Engineer,General/Corporate Management,United States,58
Established,National Laboratory,Chief/Senior Engineer,Nuclear Engineer,United States,58
Established,Consulting Firm,Engineer,Nuclear Engineer,United States,58
Lifetime,National Laboratory,Manager,Nuclear Engineer,United States,58
Established,Private Research/Test Lab,Manager,Nuclear Engineer,United States,58
Established,Medical Institution,Other,Other,United States,58
Established,National Laboratory,Other,Scientist,United States,58
Graduate Student,Student,Student,Student,United States,58
Established,Consulting Firm,Director/Department Head,Nuclear Engineer,Australia,59
Established,Educational Institution,Professor,Educator,Canada,59
Established,Engineering Firm,Analyst,Nuclear Engineer,Czech Republic,59
Established,National Laboratory,Other,Nuclear Engineer,France,59
Lifetime,Educational Institution,Professor,Scientist,Italy,59
Established,Government Agency,Other,Scientist,Netherlands,59
Established,Educational Institution,Professor,Scientist,Netherlands,59
Established,Educational Institution,Professor,Nuclear Engineer,South Korea,59
Established,Educational Institution,Professor,Nuclear Engineer,South Korea,59
Established,Engineering Firm,Chief/Senior Engineer,Nuclear Engineer,United States,59
Established,National Laboratory,Engineer,Nuclear Engineer,United States,59
Established,Utility,Engineer,Nuclear Engineer,United States,59
Established,Consulting Firm,Manager,Nuclear Engineer,United States,59
Established,Utility,Vice President,Nuclear Engineer,United States,59
Established,Other,Director/Department Head,Other,United States,59
Established,National Laboratory,Other,Scientist,United States,59
Established,National Laboratory,Other,Nuclear Engineer,France,60
Established,National Laboratory,Other,Scientist,United Kingdom,60
Established,Educational Institution,Other,Educator,United States,60
Established,Educational Institution,Professor,Educator,United States,60
Lifetime,Educational Institution,Professor,Educator,United States,60
Established,National Laboratory,Director/Department Head,General/Corporate Management,United States,60
Established,Consulting Firm,Other,Health Physicist,United States,60
Established,Other,Other,Health Physicist,United States,60
Established,Consulting Firm,Chief/Senior Engineer,Nuclear Engineer,United States,60
Established,National Laboratory,Chief/Senior Engineer,Nuclear Engineer,United States,60
Established,Manufacturer,Engineer,Nuclear Engineer,United States,60
Established,National Laboratory,Engineer,Nuclear Engineer,United States,60
Established,National Laboratory,Manager,Nuclear Engineer,United States,60
Established,National Laboratory,,Nuclear Engineer,United States,60
Established,Educational Institution,Adjunct/Assistant Professor,Other,United States,60
Established,Other,Other,Other,United States,60
Established,Educational Institution,Professor,Scientist,United States,60
Graduate Student,Student,Student,Student,United States,60
Established,Educational Institution,Other,Other,Portugal,61
Established,National Laboratory,Chief/Senior Engineer,Nuclear Engineer,United States,61
Established,Consulting Firm,Consultant,Nuclear Engineer,United States,61
Lifetime,Educational Institution,Professor,Nuclear Engineer,United States,61
Established,Educational Institution,Professor,Scientist,United States,61
Established,Other,Other,Technician,Brazil,62
Established,Consulting Firm,Chief/Senior Engineer,Other Engineer,Japan,62
Established,Educational Institution,Professor,Educator,United States,62
Established,Supplier,President/CEO,General/Corporate Management,United States,62
Established,Educational Institution,Professor,Health Physicist,United States,62
Established,Manufacturer,Chief/Senior Engineer,Nuclear Engineer,United States,62
Established,Utility,Chief/Senior Engineer,Nuclear Engineer,United States,62
Established,Utility,Consultant,Nuclear Engineer,United States,62
Established,Consulting Firm,Engineer,Nuclear Engineer,United States,62
Established,Engineering Firm,Engineer,Nuclear Engineer,United States,62
Established,Government Agency,Engineer,Nuclear Engineer,United States,62
Established,National Laboratory,Engineer,Nuclear Engineer,United States,62
Established,Other,Engineer,Nuclear Engineer,United States,62
Emeritus,Retired,Engineer,Nuclear Engineer,United States,62
Established,Supplier,Vice President,Sales/Marketing/PR,United States,62
Established,National Laboratory,Retired/Emeritus,Scientist,United States,62
Established,Educational Institution,Professor,Educator,Brazil,63
Established,Manufacturer,Manager,Chemical Engineer,United States,63
Established,Utility,Instructor,Educator,United States,63
Established,Educational Institution,Professor,Educator,United States,63
Established,Educational Institution,Professor,Educator,United States,63
Established,Educational Institution,Professor,Educator,United States,63
Established,Consulting Firm,President/CEO,General/Corporate Management,United States,63
Established,Engineering Firm,Chief/Senior Engineer,Nuclear Engineer,United States,63
Established,Manufacturer,Chief/Senior Engineer,Nuclear Engineer,United States,63
Established,Utility,Chief/Senior Engineer,Nuclear Engineer,United States,63
Established,National Laboratory,Director/Department Head,Nuclear Engineer,United States,63
Established,Consulting Firm,Engineer,Nuclear Engineer,United States,63
Established,Supplier,Engineer,Nuclear Engineer,United States,63
Emeritus,National Laboratory,Retired/Emeritus,Nuclear Engineer,United States,63
Emeritus,Retired,Retired/Emeritus,Nuclear Engineer,United States,63
Established,Educational Institution,Professor,Other,United States,63
Established,Government Agency,Manager,Nuclear Engineer,Austria,64
Established,Educational Institution,Professor,Nuclear Engineer,Croatia,64
Established,Educational Institution,Professor,Educator,United States,64
Emeritus,Retired,Retired/Emeritus,Educator,United States,64
Established,Engineering Firm,Chief/Senior Engineer,Nuclear Engineer,United States,64
Established,Other,Chief/Senior Engineer,Nuclear Engineer,United States,64
Established,Government Agency,Director/Department Head,Nuclear Engineer,United States,64
Established,Consulting Firm,Chief/Senior Engineer,Other,United States,64
Established,Manufacturer,Chief/Senior Engineer,Other,United States,64
Established,Government Agency,Director/Department Head,Other,United States,64
Lifetime,Consulting Firm,Consultant,Other Engineer,United States,64
Emeritus,National Laboratory,Manager,Nuclear Engineer,South Africa,65
Established,Engineering Firm,Chief/Senior Engineer,Nuclear Engineer,United States,65
Established,Engineering Firm,Chief/Senior Engineer,Nuclear Engineer,United States,65
Established,Utility,Engineer,Nuclear Engineer,United States,65
Lifetime,Utility,,Other,United States,65
Established,National Laboratory,Analyst,Other Engineer,United States,65
Established,National Laboratory,Consultant,Other Engineer,United States,65
Established,Educational Institution,Director/Department Head,Educator,Brazil,66
Established,Engineering Firm,Not Employed,Other,Japan,66
Established,Educational Institution,Professor,Educator,Mexico,66
Lifetime,Educational Institution,Retired/Emeritus,Educator,United States,66
Established,Manufacturer,Chief/Senior Engineer,Nuclear Engineer,United States,66
Lifetime Honorary,Retired,Retired/Emeritus,Nuclear Engineer,United States,66
Established,Supplier,Vice President,Nuclear Engineer,United States,66
Lifetime,Retired,,Nuclear Engineer,United States,66
Emeritus,Retired,Retired/Emeritus,Other Engineer,United States,66
Emeritus,Retired,Manager,General/Corporate Management,Canada,67
Established,Educational Institution,Director/Department Head,Educator,United States,67
Lifetime,Educational Institution,Professor,Educator,United States,67
Established,Educational Institution,Professor,Educator,United States,67
Established,Educational Institution,Professor,Educator,United States,67
Lifetime,Educational Institution,Retired/Emeritus,Educator,United States,67
Established,Supplier,Engineer,Mechanical Engineer,United States,67
Established,National Laboratory,Director/Department Head,Nuclear Engineer,United States,67
Lifetime,Retired,Retired/Emeritus,Nuclear Engineer,United States,67
Established,Consulting Firm,Owner,Other Engineer,United States,67
Established,Government Agency,Other,Mechanical Engineer,Canada,68
Lifetime,Educational Institution,Professor,Educator,India,68
Established,Educational Institution,Professor,Nuclear Engineer,Mexico,68
Lifetime,Educational Institution,Professor,Educator,Taiwan,68
Established,Educational Institution,Professor,Educator,United States,68
Lifetime,Consulting Firm,President/CEO,Mechanical Engineer,United States,68
Established,Manufacturer,Engineer,Nuclear Engineer,United States,68
Established,National Laboratory,Engineer,Nuclear Engineer,United States,68
Emeritus,Consulting Firm,Retired/Emeritus,Nuclear Engineer,United States,68
Lifetime,Service Firm,Retired/Emeritus,Nuclear Engineer,United States,68
Established,Engineering Firm,Chief/Senior Engineer,Scientist,United States,68
Emeritus,National Laboratory,Chief/Senior Engineer,Scientist,United States,68
Established,National Laboratory,Chief/Senior Engineer,Nuclear Engineer,France,69
Lifetime,Educational Institution,Retired/Emeritus,Educator,South Korea,69
Lifetime,Consulting Firm,Owner,Nuclear Engineer,Sweden,69
Lifetime,Educational Institution,Professor,Educator,United States,69
Lifetime Honorary,Retired,Chief/Senior Engineer,Nuclear Engineer,United States,69
Established,Engineering Firm,Engineer,Nuclear Engineer,United States,69
Established,Engineering Firm,Engineer,Other Engineer,United States,69
Established,Engineering Firm,Owner,Scientist,United States,69
Lifetime,Educational Institution,Retired/Emeritus,,United States,69
Established,Engineering Firm,Other,Nuclear Engineer,South Korea,70
Lifetime,National Laboratory,Engineer,Nuclear Engineer,United States,70
Lifetime,Service Firm,Retired/Emeritus,Nuclear Engineer,United States,70
Emeritus,Retired,Retired/Emeritus,Scientist,United States,70
Established,Utility,Manager,Nuclear Engineer,United States,71
Emeritus,Not Employed,Not Employed,Nuclear Engineer,United States,71
Lifetime,Other,Professor,Nuclear Engineer,United States,71
Established,National Laboratory,Retired/Emeritus,Nuclear Engineer,United States,71
Emeritus,Retired,Retired/Emeritus,Nuclear Engineer,United States,71
Lifetime Honorary,Retired,Retired/Emeritus,Nuclear Engineer,United States,71
Lifetime Honorary,Retired,Retired/Emeritus,Other,United States,71
Lifetime,Educational Institution,Retired/Emeritus,Scientist,United States,71
Established,National Laboratory,Retired/Emeritus,Scientist,United States,71
Emeritus,National Laboratory,Retired/Emeritus,Scientist,United States,71
Established,Consulting Firm,President/CEO,,United States,71
Emeritus,Government Agency,Retired/Emeritus,,United States,71
Emeritus,Retired,,,United States,71
Lifetime,Educational Institution,Professor,Educator,United States,72
Established,Consulting Firm,Engineer,Mechanical Engineer,United States,72
Established,Manufacturer,Other,Mechanical Engineer,United States,72
Emeritus,Manufacturer,Engineer,Nuclear Engineer,United States,72
Lifetime,Private Research/Test Lab,Engineer,Nuclear Engineer,United States,72
Emeritus,Educational Institution,Professor,Nuclear Engineer,United States,72
Lifetime Honorary,Retired,Retired/Emeritus,Nuclear Engineer,United States,72
Established,Consulting Firm,,Nuclear Engineer,United States,72
Lifetime,Retired,Retired/Emeritus,Other,United States,72
Emeritus,Retired,Retired/Emeritus,,United States,72
Emeritus,National Laboratory,Retired/Emeritus,Scientist,Brazil,73
Emeritus,Educational Institution,Professor,Educator,Italy,73
Established,Manufacturer,Director/Department Head,Educator,United States,73
Emeritus,Educational Institution,Retired/Emeritus,Educator,United States,73
Lifetime,Consulting Firm,President/CEO,General/Corporate Management,United States,73
Lifetime,Manufacturer,President/CEO,General/Corporate Management,United States,73
Established,Consulting Firm,Consultant,Mechanical Engineer,United States,73
Emeritus,Engineering Firm,Consultant,Nuclear Engineer,United States,73
Established,National Laboratory,Engineer,Nuclear Engineer,United States,73
Established,Educational Institution,Professor,Nuclear Engineer,United States,73
Lifetime,Retired,Retired/Emeritus,Nuclear Engineer,United States,73
Lifetime,Manufacturer,Chief/Senior Engineer,Nuclear Engineer,United States,74
Established,Consulting Firm,Consultant,Nuclear Engineer,United States,74
Established,Consulting Firm,Consultant,Nuclear Engineer,United States,74
Established,Consulting Firm,Vice President,Nuclear Engineer,United States,74
Lifetime,Retired,,Nuclear Engineer,United States,74
Lifetime,Consulting Firm,Consultant,Scientist,United States,74
Established,Manufacturer,Retired/Emeritus,,United States,74
Lifetime,Educational Institution,Professor,Scientist,Sweden,75
Lifetime,Educational Institution,Professor,Educator,United States,75
Established,Engineering Firm,Vice President,General/Corporate Management,United States,75
Established,Consulting Firm,Owner,Nuclear Engineer,United States,75
Lifetime,Consulting Firm,President/CEO,Nuclear Engineer,United States,75
Lifetime Honorary,Other,,Other,United States,75
Established,Private Research/Test Lab,Retired/Emeritus,Scientist,United States,75
Established,Educational Institution,Professor,Educator,United States,76
Established,Educational Institution,Professor,Educator,United States,76
Lifetime Honorary,Retired,Retired/Emeritus,Nuclear Engineer,United States,76
Lifetime,National Laboratory,Chief/Senior Engineer,Scientist,United States,76
Lifetime Honorary,Retired,Retired/Emeritus,,United States,76
Emeritus,Retired,,,United States,76
Established,Educational Institution,Professor,Nuclear Engineer,Japan,77
Emeritus,Retired,Retired/Emeritus,Nuclear Engineer,Taiwan,77
Emeritus,National Laboratory,Director/Department Head,Nuclear Engineer,United States,77
Emeritus,Retired,Retired/Emeritus,Nuclear Engineer,United States,77
Emeritus,Retired,Retired/Emeritus,Nuclear Engineer,United States,77
Lifetime Honorary,Retired,Retired/Emeritus,Other,United States,77
Established,Supplier,Engineer,Other Engineer,United States,77
Emeritus,Retired,Retired/Emeritus,,United States,77
Lifetime Honorary,Retired,,,United States,77
Established,Private Research/Test Lab,Director/Department Head,General/Corporate Management,Japan,78
Lifetime,Other,Retired/Emeritus,Other,Japan,78
Emeritus,Educational Institution,Consultant,Nuclear Engineer,Switzerland,78
Lifetime Honorary,Retired,Retired/Emeritus,General/Corporate Management,United States,78
Established,Consulting Firm,Consultant,Nuclear Engineer,United States,78
Lifetime,Government Agency,Engineer,Nuclear Engineer,United States,78
Emeritus,Retired,Retired/Emeritus,Nuclear Engineer,United States,78
Emeritus,Retired,Retired/Emeritus,Nuclear Engineer,United States,78
Emeritus,Educational Institution,Professor,,United States,78
Emeritus,Educational Institution,Professor,,United States,78
Lifetime Honorary,Educational Institution,Retired/Emeritus,Educator,United States,79
Established,Consulting Firm,Owner,General/Corporate Management,United States,79
Lifetime Honorary,National Laboratory,Retired/Emeritus,Nuclear Engineer,United States,79
Lifetime Honorary,Retired,Retired/Emeritus,Other,United States,79
Emeritus,Retired,Retired/Emeritus,Other,United States,79
Established,Educational Institution,Professor,,United States,79
Established,Consulting Firm,Retired/Emeritus,,United States,79
Lifetime Honorary,Retired,Retired/Emeritus,,United States,79
Lifetime Honorary,Retired,Retired/Emeritus,,United States,79
Emeritus,Retired,Retired/Emeritus,Nuclear Engineer,China,80
Emeritus,Retired,Retired/Emeritus,Educator,United States,80
Lifetime Honorary,Retired,Retired/Emeritus,Nuclear Engineer,United States,80
Lifetime Honorary,Retired,Retired/Emeritus,Nuclear Engineer,United States,80
Lifetime,Consulting Firm,Owner,Scientist,United States,80
Lifetime Honorary,Retired,Retired/Emeritus,Scientist,United States,80
Established,Other,Retired/Emeritus,Nuclear Engineer,United States,81
Lifetime,Retired,Retired/Emeritus,Nuclear Engineer,United States,81
Emeritus,Retired,Retired/Emeritus,Nuclear Engineer,United States,81
Established,National Laboratory,Retired/Emeritus,Other,United States,81
Emeritus,Retired,Retired/Emeritus,,United States,81
Lifetime Honorary,Educational Institution,Retired/Emeritus,Educator,United States,82
Emeritus,Retired,Retired/Emeritus,Educator,United States,82
Established,Consulting Firm,Consultant,Nuclear Engineer,United States,82
Established,Educational Institution,Professor,Nuclear Engineer,United States,82
Lifetime Honorary,Retired,Retired/Emeritus,Nuclear Engineer,United States,82
Lifetime,Retired,Retired/Emeritus,Other,United States,82
Lifetime Honorary,Government Agency,Retired/Emeritus,,United States,82
Emeritus,Retired,,,United States,82
Lifetime Honorary,Retired,Retired/Emeritus,General/Corporate Management,United States,83
Lifetime Honorary,Retired,Not Employed,Nuclear Engineer,United States,83
Emeritus,Retired,Professor,Nuclear Engineer,United States,83
Lifetime Honorary,National Laboratory,Retired/Emeritus,Nuclear Engineer,United States,83
Lifetime Honorary,Retired,Retired/Emeritus,Nuclear Engineer,United States,83
Lifetime Honorary,National Laboratory,Consultant,,United States,83
Lifetime Honorary,Educational Institution,Professor,Educator,United States,84
Established,National Laboratory,Engineer,Nuclear Engineer,United States,84
Emeritus,Other,Retired/Emeritus,Nuclear Engineer,United States,84
Lifetime Honorary,Retired,Retired/Emeritus,Nuclear Engineer,United States,84
Lifetime Honorary,Retired,Retired/Emeritus,Nuclear Engineer,United States,84
Lifetime Honorary,Retired,,Nuclear Engineer,United States,84
Lifetime Honorary,Retired,Retired/Emeritus,Other Engineer,United States,84
Lifetime Honorary,Retired,Retired/Emeritus,,United States,84
Emeritus,National Laboratory,Chief/Senior Engineer,Nuclear Engineer,United States,85
Established,Other,Owner,Other,United States,85
Lifetime Honorary,Retired,Owner,,United States,85
Lifetime Honorary,Educational Institution,Professor,,United States,85
Lifetime Honorary,Manufacturer,Retired/Emeritus,,United States,85
Lifetime Honorary,Retired,Retired/Emeritus,,United States,85
Lifetime Honorary,Retired,Retired/Emeritus,,United States,85
Lifetime Honorary,Retired,,,United States,85
Lifetime Honorary,National Laboratory,Engineer,Nuclear Engineer,United States,86
Lifetime Honorary,Private Research/Test Lab,Retired/Emeritus,Nuclear Engineer,United States,86
Lifetime Honorary,Educational Institution,Consultant,,United States,86
Lifetime Honorary,Retired,Retired/Emeritus,,United States,86
Lifetime Honorary,Retired,,,United States,86
Lifetime Honorary,Retired,Professor,Nuclear Engineer,United Kingdom,87
Lifetime,Retired,Retired/Emeritus,,Japan,88
Lifetime,Retired,Retired/Emeritus,,Lithuania,88
Lifetime Honorary,Educational Institution,Retired/Emeritus,Educator,United States,88
Lifetime,Retired,Retired/Emeritus,Nuclear Engineer,United States,88
Lifetime Honorary,Retired,Retired/Emeritus,Nuclear Engineer,United States,88
Lifetime Honorary,Educational Institution,Retired/Emeritus,,United States,88
Lifetime Honorary,Retired,Retired/Emeritus,,United States,88
Lifetime Honorary,Retired,Manager,Nuclear Engineer,United States,89
Lifetime Honorary,Retired,Retired/Emeritus,Nuclear Engineer,United States,89
Lifetime,Retired,Retired/Emeritus,Nuclear Engineer,United States,89
Lifetime Honorary,Educational Institution,Professor,,United States,89
Lifetime Honorary,National Laboratory,Consultant,Nuclear Engineer,United States,90
Lifetime Honorary,Retired,Retired/Emeritus,Nuclear Engineer,United States,90
Lifetime Honorary,Retired,Retired/Emeritus,,United States,90
Established,Consulting Firm,Chief/Senior Engineer,Nuclear Engineer,United States,91
Lifetime,Retired,,,Belgium,92
Lifetime Honorary,Retired,Retired/Emeritus,,United States,92
Lifetime Honorary,Retired,Retired/Emeritus,Other,Australia,93
Lifetime Honorary,Retired,Retired/Emeritus,,United States,93
Lifetime Honorary,Retired,Retired/Emeritus,,United States,93
Lifetime,Retired,Retired/Emeritus,,United States,94
Lifetime,Retired,Retired/Emeritus,,United States,94
Lifetime Honorary,National Laboratory,,,United States,94
Lifetime Honorary,Educational Institution,Professor,,United States,95
Established,,,,China,
Established,Educational Institution,Professor,Other Engineer,Japan,
Established,National Laboratory,Engineer,Nuclear Engineer,United States,
Graduate Student,Student,Research Assistant,Nuclear Engineer,United States,22
Established,Private Research/Test Lab,Director/Department Head,Health Physicist,United States,40
Recent Graduate,National Laboratory,Engineer,Scientist,United States,31
Graduate Student,,,,Malaysia,30
Trustee,Other,Engineer,Mechanical Engineer,United States,30
Student,Private Research/Test Lab,Student,Reactor Operator,United States,20
Graduate Student,Student,Student,Student,United States,25
Student,Student,Student,Student,United States,26
Graduate Student,Student,Student,Student,United States,27
Recent Graduate,National Laboratory,,Scientist,United States,28
Young Member,Engineering Firm,Engineer,Nuclear Engineer,United States,29
Graduate Student,,,,United States,34
Lifetime,Government Agency,Director/Department Head,Nuclear Engineer,United States,37
Established,Consulting Firm,,,United States,37
Student,Student,Student,Student,United States,
Trial,Service Firm,Consultant,,United States,
Student,Student,Student,Student,United States,20
Student,Student,Student,Student,United States,21
Student,Student,Student,Student,United States,21
Student,Student,Student,Student,United States,22
Graduate Student,Student,Student,Student,United States,22
Student,Student,Student,Student,United States,22
Young Member,,,,United States,22
Student,Student,Student,Student,United States,23
Recent Graduate,Student,Student,Student,United States,23
Graduate Student,Student,Student,Student,United States,23
Graduate Student,Student,Student,Student,United States,23
Young Member,Active Military,Military Officer,Other,United States,24
Graduate Student,Student,Research Assistant,Student,United States,24
Graduate Student,Student,Student,Student,United States,24
Student,Student,Student,Student,United States,24
Graduate Student,Student,Student,Student,United States,26
Recent Graduate,National Laboratory,Research Assistant,Scientist,United States,27
Graduate Student,Student,Student,Student,United States,27
Graduate Student,Student,Student,Student,United States,27
Graduate Student,Student,Student,Student,Germany,28
Graduate Student,Student,Student,Student,United States,28
Recent Graduate,Student,Student,Student,Canada,29
Young Member,National Laboratory,Research Assistant,Scientist,United States,29
Graduate Student,Student,Student,Student,United States,29
Young Member,Educational Institution,Adjunct/Assistant Professor,Nuclear Engineer,United States,30
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,30
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,30
Graduate Student,Student,Student,Student,United States,30
Graduate Student,Student,Student,Student,United States,30
Young Member,National Laboratory,Engineer,Nuclear Engineer,South Korea,31
Graduate Student,National Laboratory,Engineer,Nuclear Engineer,United States,31
Trustee,Student,Student,Student,United States,31
Young Member,National Laboratory,Supervisor,Scientist,Romania,32
Young Member,National Laboratory,Engineer,Other Engineer,United States,32
Student,Student,Student,Student,United States,32
Young Member,National Laboratory,Analyst,Scientist,United States,33
Young Member,Educational Institution,Other,Educator,United States,34
Student,,Student,,United States,35
Young Member,National Laboratory,Engineer,Other Engineer,United States,36
Young Member,National Laboratory,Other,Scientist,United States,36
Established,Private Research/Test Lab,Manager,Nuclear Engineer,United States,37
Graduate Student,Student,Student,Student,Finland,38
Established,National Laboratory,Engineer,Nuclear Engineer,United States,38
Student,Other,Engineer,,United States,38
Established,National Laboratory,Analyst,Nuclear Engineer,United States,39
Established,National Laboratory,Engineer,Nuclear Engineer,United States,39
Established,Private Research/Test Lab,Engineer,Nuclear Engineer,United States,39
Established,Utility,Instructor,Nuclear Engineer,United States,39
Established,National Laboratory,Manager,Nuclear Engineer,United States,39
Established,National Laboratory,Engineer,Nuclear Engineer,United States,41
Established,Government Agency,Analyst,Nuclear Engineer,United States,42
Established,National Laboratory,Analyst,Scientist,Canada,44
Established,National Laboratory,Engineer,Nuclear Engineer,United States,45
Established,Educational Institution,Professor,Educator,Italy,46
Established,Educational Institution,Professor,Educator,United States,46
Trustee,Utility,Chief/Senior Engineer,Nuclear Engineer,United States,49
Established,Educational Institution,Professor,Educator,United States,50
Established,Educational Institution,Professor,Nuclear Engineer,United States,51
Established,National Laboratory,Engineer,Scientist,United States,51
Established,Other,Project Manager,Nuclear Engineer,United States,53
Established,Utility,Engineer,Nuclear Engineer,United States,54
Established,Educational Institution,Professor,Educator,United States,55
Established,National Laboratory,Other,Scientist,United States,55
Established,Government Agency,Engineer,Nuclear Engineer,United States,56
Established,Educational Institution,Professor,Other,United States,59
Established,Educational Institution,Professor,Educator,Brazil,60
Established,Consulting Firm,Owner,Other,United States,60
Established,Manufacturer,Engineer,Nuclear Engineer,United States,61
Established,National Laboratory,Other,Nuclear Engineer,United States,61
Established,Engineering Firm,Chief/Senior Engineer,Other Engineer,United States,62
Established,Utility,Manager,General/Corporate Management,United States,63
Established,Government Agency,Engineer,Nuclear Engineer,United States,67
Established,Educational Institution,Project Manager,Educator,United States,68
Emeritus,Educational Institution,Professor,Educator,United States,69
Established,Other,Retired/Emeritus,Other Engineer,United States,69
Lifetime,Government Agency,Retired/Emeritus,Other Engineer,United States,71
Lifetime Honorary,Retired,Retired/Emeritus,Nuclear Engineer,United States,72
Lifetime,Retired,Manager,Scientist,United States,75
Established,,,,Spain,-1
Student,,Student,,United States,16
Student,,,,United States,17
Student,,,,United States,17
Student,,,,United States,17
Student,,Student,,United States,18
Student,,,,United States,18
Student,,,,United States,18
Student,,,,United States,19
Student,,,,United States,19
Student,,,,United States,19
Student,,,,United States,20
Student,Student,Student,Student,United States,22
Graduate Student,,,,United States,22
Student,,,,,22
Graduate Student,,,,France,23
Graduate Student,,,,United Kingdom,23
Graduate Student,Student,Student,Student,United States,23
Student,,,,United States,23
Young Member,,,,United States,23
Young Member,National Laboratory,Research Assistant,Nuclear Engineer,United States,24
Graduate Student,,,,United States,24
Graduate Student,Student,Student,Student,South Korea,25
Graduate Student,Student,Student,Student,United States,25
Student,Student,Student,Student,United States,26
Graduate Student,Student,Student,Student,United States,26
Graduate Student,Student,Student,Student,United States,26
Young Member,Manufacturer,Engineer,Nuclear Engineer,United States,27
Graduate Student,,,,United States,27
Graduate Student,,,,United States,27
Graduate Student,,,,United States,28
Graduate Student,Educational Institution,,,Sweden,30
Graduate Student,Student,Student,Student,United States,30
Trustee,Engineering Firm,Engineer,,United States,30
Young Member,,,,United States,30
Young Member,National Laboratory,Engineer,Other Engineer,United States,31
Young Member,National Laboratory,,,United States,31
Young Member,Engineering Firm,Chief/Senior Engineer,Nuclear Engineer,Italy,32
Young Member,Educational Institution,Other,Scientist,United States,32
Young Member,,,,United States,32
Young Member,,,,United States,32
Trustee,Utility,Engineer,Mechanical Engineer,United States,33
Young Member,National Laboratory,Research Assistant,Nuclear Engineer,United States,33
Graduate Student,,,,United States,33
Young Member,,,,United States,33
Young Member,,,,United States,33
Trustee,Utility,Manager,Electrical Engineer,United States,34
Trustee,Utility,Engineer,Nuclear Engineer,United States,34
Student,,,,United States,34
