Membership: Membership Type,Industry,Position,Job Function,Person Account: Mailing Country,Age
Graduate Student,Student,Student,Student,United States,25
Graduate Student,Student,Student,Student,United States,25
Graduate Student,Student,Student,Student,United States,25
Graduate Student,Student,Student,Student,United States,25
Graduate Student,Student,Student,Student,United States,25
Graduate Student,Student,Student,Student,United States,25
Graduate Student,Student,Student,Student,Canada,26
Graduate Student,Student,Student,Student,Sweden,26
Young Member,Government Agency,Engineer,Nuclear Engineer,United States,26
Graduate Student,National Laboratory,Engineer,Nuclear Engineer,United States,26
Recent Graduate,National Laboratory,Engineer,Scientist,United States,26
Graduate Student,Student,Student,Student,United States,26
Graduate Student,Student,Student,Student,United States,26
Graduate Student,Student,Student,Student,United States,26
Graduate Student,Student,Student,Student,United States,26
Graduate Student,Student,Student,Student,United States,26
Graduate Student,Student,Student,Student,United States,26
Graduate Student,Student,Student,Student,United States,26
Graduate Student,Student,Student,Student,United States,26
Graduate Student,Student,Student,Student,United States,26
Student,Student,Student,Student,United States,26
Graduate Student,Student,Student,Student,United States,26
Graduate Student,Student,Student,Student,United States,26
Young Member,,,,United States,26
Graduate Student,Student,Student,Student,Canada,27
Graduate Student,,Student,Student,South Korea,27
Young Member,Engineering Firm,Engineer,Nuclear Engineer,United States,27
Young Member,Engineering Firm,Engineer,Nuclear Engineer,United States,27
Student,Other,Engineer,Nuclear Engineer,United States,27
Graduate Student,Educational Institution,Research Assistant,Nuclear Engineer,United States,27
Recent Graduate,National Laboratory,Research Assistant,Nuclear Engineer,United States,27
Young Member,National Laboratory,Student,Student,United States,27
Student,Student,Student,Student,United States,27
Student,Student,Student,Student,United States,27
Graduate Student,Student,Student,Student,United States,27
Graduate Student,Student,Student,Student,United States,27
Graduate Student,Student,Student,Student,United States,27
Graduate Student,Student,Student,Student,United States,27
Graduate Student,Student,Student,Student,United States,27
Graduate Student,Student,Student,Student,United States,27
Graduate Student,Student,Student,Student,United States,27
Graduate Student,Student,Student,Student,United States,27
Graduate Student,Student,Student,Student,United States,27
Graduate Student,Student,Student,Student,United States,27
Graduate Student,Student,Student,Student,United States,27
Graduate Student,Student,Student,Student,United States,27
Student,Student,Student,Student,United States,27
Graduate Student,Student,Student,Student,United States,27
Graduate Student,Student,Student,Student,United States,27
Graduate Student,Student,Student,Student,United States,27
Recent Graduate,,Adjunct/Assistant Professor,,United States,27
Young Member,Engineering Firm,Engineer,Mechanical Engineer,United States,28
Young Member,Private Research/Test Lab,Manager,Mechanical Engineer,United States,28
Young Member,Consulting Firm,Chief/Senior Engineer,Nuclear Engineer,United States,28
Recent Graduate,Engineering Firm,Engineer,Nuclear Engineer,United States,28
Graduate Student,National Laboratory,Engineer,Nuclear Engineer,United States,28
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,28
Recent Graduate,Other,Not Employed,Other,United States,28
Young Member,Educational Institution,Research Assistant,Scientist,United States,28
Recent Graduate,Student,Student,Student,United States,28
Graduate Student,Student,Student,Student,United States,28
Graduate Student,Student,Student,Student,United States,28
Graduate Student,Student,Student,Student,United States,28
Graduate Student,Student,Student,Student,United States,28
Graduate Student,Student,Student,Student,United States,28
Graduate Student,Student,Student,Student,United States,28
